Program Name
1,Physical Therapy (PTA) - Programs for the physical therapist assistant
3,Didactic Program in Dietetics
4,Speech-Language Pathology (SLP) - Graduate degree programs
5,Teacher Education (TED) - Baccalaureate and graduate programs for the preparation of teachers and other professional personnel for elementary and secondary schools
7,Dietetics (DIETI) - Dietetic Internship
8,Post Doctoral - Advanced dental education programs (advanced education in general dentistry and general practice residency) (Advanced Education in General Dentistry 12 Months)
9,Post Doctoral - Advanced dental education programs (advanced education in general dentistry and general practice residency) (General Practice Residency 12 Months)
10,Professional Psychology (IPSY) - Predoctoral internship programs (University of Alabama at Birmingham Psychology Training Consortium)
11,Endodontics
12,Oral and Maxillofacial Surgery (OMS)
13,Orthodontics & Dentofacial Orthopedics
14,Pediatric Dentistry
15,Periodontics
16,Prosthodontics (including maxillofacial prosthetics and combined prosthodontics/maxillofacial prosthetics)
17,Occupational Therapy (OT) - Professional Programs (School of Health Professions)
18,Occupational Therapy (OTM) - Programs leading to a Master's Degree
19,Optometry (OPT) - Professional degree programs
20,Physical Therapy (PT) - Professional programs for the physical therapist
21,Clinical Psychology (CLPSY) - PhD Doctoral programs
22,(CPE) - Clinical pastoral education (CPE) centers offering CPE programs (University of Alabama Hospital)
23,Health Services Administration (HSA) - Graduate programs in health services administration
24,Nursing (CNDNP) - Nursing education programs at the doctorate degree levels
25,Nursing (CNURED) - Nursing education programs at the baccalaureate degree levels
26,Nursing (CNURED) - Nursing education programs at the graduate degree levels
27,English Language (English Language Academic English Program)
28,"Nurse Anesthesia (ANEST) - Institutions and programs at the master's degree,  post master's certificate or doctoral degree levels"
29,Public Health (PHB) - Baccalaureate and Graduate level school of public health
30,Radiologic Technology (RAD) - Programs for radiographers
31,Radiologic Technology (RADTT) - Programs for radiation therapists
32,Nuclear Medicine Technologist (NMT) - Programs for the nuclear medicine technologist
33,Medicine (MED) - Programs leading to the M.D. degree (School of Medicine)
34,Art and Design (ART) - Degree-granting schools and departments and non-degree-granting programs
35,Music (MUS) - Institutions and units within institutions offering degree-granting and/or non-degree-granting programs
36,Theatre (THEA) - Institutions and units within institutions offering degree-granting and/or non-degree-granting programs
37,Teacher Education (TED) - Baccalaureate and graduate programs for the preparation of teachers and other professional personnel for elementary and secondary schools
38,Optometry (OPTR) - Residency programs (Omni Eye Services of Atlanta Residency in Ocular Disease)
39,Optometry (OPTR) - Residency programs (Residency in Cornea and Contact Lenses)
40,Optometry (OPTR) - Residency programs (Residency in Family Practice Optometry)
41,Optometry (OPTR) - Residency programs (Residency in Pediatric Optometry)
42,Post Doctoral - Advanced dental education programs (advanced education in general dentistry and general practice residency) (Advanced Education in General Dentistry 12 Months)
43,Predoctoral
45,"Theology (THEOL) - Freestanding schools, as well as programs affiliated with larger institutions, offering graduate professional education for ministry and graduate study of theology"
47,Nursing (CNURED) - Nursing education programs at the baccalaureate degree levels
