Name,Address,City,Zip,Web,ProgramName
Community College of the Air Force,130 W Maxwell Blvd,Montgomery,36112-6613,www.maxwell.af.mil/au/ccaf/,Physical Therapy (PTA) - Programs for the physical therapist assistant
Alabama A & M University,4900 Meridian St,Normal,35762,www.aamu.edu/,Didactic Program in Dietetics
Alabama A & M University,4900 Meridian St,Normal,35762,www.aamu.edu/,Speech-Language Pathology (SLP) - Graduate degree programs
Alabama A & M University,4900 Meridian St,Normal,35762,www.aamu.edu/,Teacher Education (TED) - Baccalaureate and graduate programs for the preparation of teachers and other professional personnel for elementary and secondary schools
University of Alabama at Birmingham,1720 2nd Avenue South,Birmingham,35233,www.uab.edu,Dietetics (DIETI) - Dietetic Internship
University of Alabama at Birmingham,1720 2nd Avenue South,Birmingham,35233,www.uab.edu,Post Doctoral - Advanced dental education programs (advanced education in general dentistry and general practice residency) (Advanced Education in General Dentistry 12 Months)
University of Alabama at Birmingham,1720 2nd Avenue South,Birmingham,35233,www.uab.edu,Post Doctoral - Advanced dental education programs (advanced education in general dentistry and general practice residency) (General Practice Residency 12 Months)
University of Alabama at Birmingham,1720 2nd Avenue South,Birmingham,35233,www.uab.edu,Professional Psychology (IPSY) - Predoctoral internship programs (University of Alabama at Birmingham Psychology Training Consortium)
University of Alabama at Birmingham,1720 2nd Avenue South,Birmingham,35233,www.uab.edu,Endodontics
University of Alabama at Birmingham,1720 2nd Avenue South,Birmingham,35233,www.uab.edu,Oral and Maxillofacial Surgery (OMS)
University of Alabama at Birmingham,1720 2nd Avenue South,Birmingham,35233,www.uab.edu,Orthodontics & Dentofacial Orthopedics
University of Alabama at Birmingham,1720 2nd Avenue South,Birmingham,35233,www.uab.edu,Pediatric Dentistry
University of Alabama at Birmingham,1720 2nd Avenue South,Birmingham,35233,www.uab.edu,Periodontics
University of Alabama at Birmingham,1720 2nd Avenue South,Birmingham,35233,www.uab.edu,Prosthodontics (including maxillofacial prosthetics and combined prosthodontics/maxillofacial prosthetics)
University of Alabama at Birmingham,1720 2nd Avenue South,Birmingham,35233,www.uab.edu,Occupational Therapy (OT) - Professional Programs (School of Health Professions)
University of Alabama at Birmingham,1720 2nd Avenue South,Birmingham,35233,www.uab.edu,Occupational Therapy (OTM) - Programs leading to a Master's Degree
University of Alabama at Birmingham,1720 2nd Avenue South,Birmingham,35233,www.uab.edu,Optometry (OPT) - Professional degree programs
University of Alabama at Birmingham,1720 2nd Avenue South,Birmingham,35233,www.uab.edu,Physical Therapy (PT) - Professional programs for the physical therapist
University of Alabama at Birmingham,1720 2nd Avenue South,Birmingham,35233,www.uab.edu,Clinical Psychology (CLPSY) - PhD Doctoral programs
University of Alabama at Birmingham,1720 2nd Avenue South,Birmingham,35233,www.uab.edu,(CPE) - Clinical pastoral education (CPE) centers offering CPE programs (University of Alabama Hospital)
University of Alabama at Birmingham,1720 2nd Avenue South,Birmingham,35233,www.uab.edu,Health Services Administration (HSA) - Graduate programs in health services administration
